Number,Date,Month,Site,SiteMonth,Treatment,Flower,Flower_status,Method,Sex,Genus,Species,GenusSpecies,Family 
41,6/4/2020,June,C17,June-C17,Control,,,Pan trap,F,Andrena,carlini,Andrena carlini,Andrenidae
42,6/4/2020,June,C17,June-C17,Control,,,Pan trap,F,Osmia,penstemonis,Osmia penstemonis,Megachilidae
43,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
44,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
45,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
46,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
47,6/4/2020,June,T2,June-T2,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
48,6/4/2020,June,C16,June-C16,Control,,,Pan trap,F,Osmia,juxta,Osmia juxta,Megachilidae
49,6/4/2020,June,C16,June-C16,Control,,,Pan trap,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
50,6/4/2020,June,C16,June-C16,Control,,,Pan trap,F,Andrena,sp. F,Andrena sp. F,Andrenidae
51,6/4/2020,June,C16,June-C16,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
52,6/4/2020,June,T1,June-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
53,6/5/2020,June,C22,June-C22,Control,,,Pan trap,F,Andrena,carlini,Andrena carlini,Andrenidae
54,6/5/2020,June,C22,June-C22,Control,,,Pan trap,F,Andrena,carlini,Andrena carlini,Andrenidae
55,6/5/2020,June,C22,June-C22,Control,,,Pan trap,M,Andrena,spp.,Andrena spp.,Andrenidae
56,6/5/2020,June,T6,June-T6,Thinned,,,Pan trap,F,Andrena,carlini,Andrena carlini,Andrenidae
57,6/5/2020,June,T6,June-T6,Thinned,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
58,6/5/2020,June,T6,June-T6,Thinned,,,Pan trap,M,Osmia,juxta,Osmia juxta,Megachilidae
59,8/5/2020,August,T1,August-T1,Thinned,,,Blue vane,F,Heriades,carinatus,Heriades carinatus,Megachilidae
60,6/5/2020,June,T6,June-T6,Thinned,,,Pan trap,M,Hylaeus,basalis,Hylaeus basalis,Colletidae
61,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
62,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
63,6/5/2020,June,C20,June-C20,Control,,,Pan trap,M,Osmia,albolateralis,Osmia albolateralis,Megachilidae
64,6/5/2020,June,C21,June-C21,Control,,,Pan trap,M,Osmia,bruneri,Osmia bruneri,Megachilidae
65,6/5/2020,June,C21,June-C21,Control,,,Pan trap,M,Halictus,rubicundus,Halictus rubicundus,Halictidae
66,8/5/2020,August,T1,August-T1,Thinned,,,Blue vane,F,Melissodes,communis,Melissodes communis,Apidae
67,6/9/2020,June,T9,June-T9,Thinned,,,Pan trap,M,Halictus,rubicundus,Halictus rubicundus,Halictidae
68,6/3/2020,June,C20,June-C20,Control,Jamesia americana,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
69,6/9/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Colletes,sp. D,Colletes sp. D,Colletidae
70,6/9/2020,June,T10,June-T10,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
71,8/12/2020,August,T15,August-T15,Thinned,,,Blue vane,F,Anthophora,terminalis,Anthophora terminalis,Apidae
72,6/4/2020,June,T3,June-T3,Thinned,Erigeron,Native,Net,M,Osmia,grindeliae,Osmia grindeliae,Megachilidae
73,6/8/2020,June,T13,June-T13,Thinned,Packera fendleri,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
74,6/4/2020,June,T4,June-T4,Thinned,Draba aurea,Native,Net,F,Osmia,penstemonis,Osmia penstemonis,Megachilidae
75,6/4/2020,June,C18,June-C18,Control,Clematis columbiana,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
76,6/5/2020,June,T6,June-T6,Thinned,Erigeron,Native,Net,F,Nomada,sp. A,Nomada sp. A,Apidae
77,6/3/2020,June,C21,June-C21,Control,Physaria,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
78,6/5/2020,June,T5,June-T5,Thinned,Potentilla,Native,Net,M,Hylaeus,basalis,Hylaeus basalis,Colletidae
79,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
80,6/4/2020,June,C19,June-C19,Control,Mertensia lanceolata,Native,Net,F,Osmia,phaceliae,Osmia phaceliae,Megachilidae
81,6/4/2020,June,T4,June-T4,Thinned,Erigeron,Native,Net,M,Osmia,grindeliae,Osmia grindeliae,Megachilidae
82,6/4/2020,June,T2,June-T2,Thinned,Harbouria trachypleura,Native,Net,M,Hylaeus,basalis,Hylaeus basalis,Colletidae
83,6/3/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,M,Hylaeus,basalis,Hylaeus basalis,Colletidae
84,6/2/2020,June,T2,June-T2,Thinned,Senecio integerrimus,Native,Net,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
85,6/4/2020,June,T3,June-T3,Thinned,Not recorded,,Net,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
86,6/3/2020,June,C21,June-C21,Control,Penstemon secundiflorus,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
87,6/3/2020,June,C21,June-C21,Control,Astragalus drummondii,Native,Net,M,Osmia,nigrifrons,Osmia nigrifrons,Megachilidae
88,6/8/2020,June,T12,June-T12,Thinned,Mertensia lanceolata,Native,Net,F,Osmia,grindeliae,Osmia grindeliae,Megachilidae
89,6/3/2020,June,C21,June-C21,Control,Potentilla,Native,Net,F,Andrena,amphibola,Andrena amphibola,Andrenidae
90,6/3/2020,June,T7,June-T7,Thinned,Arctostaphylos uva-ursi,Native,Net,,Apis,mellifera,Apis mellifera,Apidae
91,6/4/2020,June,T2,June-T2,Thinned,Senecio integerrimus,Native,Net,F,Osmia,subaustralis,Osmia subaustralis,Megachilidae
92,6/2/2020,June,C16,June-C16,Control,Mertensia lanceolata,Native,Net,F,Osmia,juxta,Osmia juxta,Megachilidae
93,6/2/2020,June,T2,June-T2,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Andrena,carlini,Andrena carlini,Andrenidae
94,6/3/2020,June,C21,June-C21,Control,Potentilla,Native,Net,F,Andrena,sp. B,Andrena sp. B,Andrenidae
95,6/2/2020,June,T2,June-T2,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Andrena,carlini,Andrena carlini,Andrenidae
96,6/2/2020,June,T2,June-T2,Thinned,Cirsium arvense,Introduced,Net,F,Andrena,carlini,Andrena carlini,Andrenidae
97,6/2/2020,June,T2,June-T2,Thinned,Erysimum capitatum,Native,Net,F,Andrena,carlini,Andrena carlini,Andrenidae
98,6/3/2020,June,T7,June-T7,Thinned,Ground,,Net,F,Andrena,amphibola,Andrena amphibola,Andrenidae
99,6/3/2020,June,T7,June-T7,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Andrena,carlini,Andrena carlini,Andrenidae
100,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
101,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
102,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
103,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Osmia,brevis,Osmia brevis,Megachilidae
104,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
105,6/8/2020,June,T13,June-T13,Thinned,Penstemon virens,Native,Net,F,Bombus,huntii,Bombus huntii,Apidae
106,6/8/2020,June,T13,June-T13,Thinned,Oxytropis lambertii,Native,Net,F,Osmia,longula,Osmia longula,Megachilidae
107,6/8/2020,June,T13,June-T13,Thinned,Oxytropis lambertii,Native,Net,F,Bombus,nevadensis,Bombus nevadensis,Apidae
108,6/8/2020,June,T13,June-T13,Thinned,Oxytropis lambertii,Native,Net,F,Bombus,nevadensis,Bombus nevadensis,Apidae
109,6/2/2020,June,T4,June-T4,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Osmia,paradisica,Osmia paradisica,Megachilidae
110,6/2/2020,June,T1,June-T1,Thinned,Thermopsis rhombifolia,Native,Net,F,Osmia,bucephala,Osmia bucephala,Megachilidae
111,6/4/2020,June,T4,June-T4,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Andrena,carlini,Andrena carlini,Andrenidae
112,6/4/2020,June,T2,June-T2,Thinned,Mertensia lanceolata,Native,Net,F,Osmia,bucephala,Osmia bucephala,Megachilidae
113,6/2/2020,June,T2,June-T2,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
114,6/2/2020,June,T2,June-T2,Thinned,Senecio integerrimus,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
115,6/8/2020,June,T12,June-T12,Thinned,Packera fendleri,Native,Net,F,Halictus,ligatus,Halictus ligatus,Halictidae
116,6/8/2020,June,T12,June-T12,Thinned,Packera fendleri,Native,Net,F,Osmia,coloradensis,Osmia coloradensis,Megachilidae
117,6/3/2020,June,C20,June-C20,Control,Jamesia americana,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
118,6/2/2020,June,T2,June-T2,Thinned,Thermopsis rhombifolia,Native,Net,F,Bombus,nevadensis,Bombus nevadensis,Apidae
119,6/4/2020,June,T2,June-T2,Thinned,Thermopsis rhombifolia,Native,Net,F,Bombus,griseocollis,Bombus griseocollis,Apidae
120,6/4/2020,June,T2,June-T2,Thinned,Thermopsis rhombifolia,Native,Net,F,Bombus,nevadensis,Bombus nevadensis,Apidae
121,6/9/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
122,6/9/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
123,6/18/2020,June,C28,June-C28,Control,Penstemon virens,Native,Net,M,Osmia,brevis,Osmia brevis,Megachilidae
124,6/18/2020,June,C29,June-C29,Control,Jamesia americana,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
125,6/18/2020,June,C28,June-C28,Control,Packera fendleri,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
126,6/18/2020,June,C28,June-C28,Control,Erigeron compositus,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
127,6/18/2020,June,C29,June-C29,Control,Jamesia americana,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
128,6/18/2020,June,C27,June-C27,Control,Oxytropis lambertii,Native,Net,F,Megachile,melanophaea,Megachile melanophaea,Megachilidae
129,6/16/2020,June,C25,June-C25,Control,Penstemon secundiflorus,Native,Net,F,Osmia,brevis,Osmia brevis,Megachilidae
130,6/16/2020,June,C25,June-C25,Control,Packera fendleri,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
131,6/15/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Anthidium,tenuiflorae ,Anthidium tenuiflorae ,Megachilidae
132,6/15/2020,June,T10,June-T10,Thinned,Packera fendleri,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
133,6/15/2020,June,T10,June-T10,Thinned,Lupinus argenteus,Native,Net,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
134,6/15/2020,June,T10,June-T10,Thinned,Packera fendleri,Native,Net,F,Osmia,brevis,Osmia brevis,Megachilidae
135,6/15/2020,June,T9,June-T9,Thinned,Potentilla,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
136,6/15/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
137,6/15/2020,June,T12,June-T12,Thinned,Erysimum capitatum,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
138,6/15/2020,June,T12,June-T12,Thinned,Erysimum capitatum,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
139,6/15/2020,June,T8,June-T8,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
140,6/15/2020,June,T8,June-T8,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
141,6/15/2020,June,T12,June-T12,Thinned,Penstemon secundiflorus,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
142,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Melissodes,tristis,Melissodes tristis,Apidae
143,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
144,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
145,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
146,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
147,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
148,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
149,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
150,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
151,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Halictus,farinosus,Halictus farinosus,Halictidae
152,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
153,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
154,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
155,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
156,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
157,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
158,6/17/2020,June,T9,June-T9,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
159,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
160,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
161,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Osmia,brevis,Osmia brevis,Megachilidae
162,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
163,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
164,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Andrena,sp. A,Andrena sp. A,Andrenidae
165,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Andrena,sp. A,Andrena sp. A,Andrenidae
166,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
167,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
168,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
169,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
170,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
171,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
172,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
173,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
174,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
175,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
176,6/17/2020,June,T14,June-T14,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
177,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Melissodes,tristis,Melissodes tristis,Apidae
178,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Osmia,brevis,Osmia brevis,Megachilidae
179,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
180,6/17/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
181,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Osmia,bruneri,Osmia bruneri,Megachilidae
182,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
183,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
184,6/17/2020,June,T11,June-T11,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
185,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
186,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
187,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
188,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
189,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
190,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
191,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
192,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
193,6/17/2020,June,T12,June-T12,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
194,6/17/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
195,6/17/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
196,6/17/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
197,6/17/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
198,6/17/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
199,6/17/2020,June,T13,June-T13,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
